Licence Number,Licence Status,Licence Status Date,Lic. EDCT,Licence Issue Date,Most Recent Licence Amendment Date,Licence Surface Location,Location Latitude,Location Longitude,Licensee  BA Code,Licensee Name,Plant Processes,Raw Gas E3m3/d,Rec Sales Gas E3m3/d,C2 m3/d,C2 Mix m3/d,C3 m3/d,C4 m3/d,LPG Mix m3/d,C5+ m3/d,Sulphur Inlet t/d,Sulphur Recovered t/d,Max Sulphur Emission Rate t/d,Qtrly Approved Sulphur Rec Eff %,Reporting Facility ID,Facility Subtype,Facility Name,Field or Area,Operator Code,Operator Name,First Volumetric Activity Date,Last Volumetric Activity Date
F10153    ,Amended,"Oct 24, 2006",400,"Mar 02, 2001","Nov 24, 2007",00/03-17-047-27W4,53.046899,-113.917115,7,Imperial Oil Resources Limited,"Regenerative, Acid Gas Injection","7,323.00",6368,3062,0,1970,1135,0,1120,10, ,0,89.7,ABGP0001750,Gas Plant Frac,* IMPERIAL INJECTION,BONNIE GLEN,7,Imperial Oil Resources Limited, , 
F10153    ,Amended,"Oct 24, 2006",400,"Mar 02, 2001","Nov 24, 2007",00/03-17-047-27W4,53.046899,-113.917115,7,Imperial Oil Resources Limited,"Regenerative, Acid Gas Injection","7,323.00",6368,3062,0,1970,1135,0,1120,10, ,0,89.7,ABIF0129975,Disposal,ESSO CPR BONNIE GLEN 6-17-47-27w4,BONNIE GLEN,7,Imperial Oil Resources Limited,"Nov 01, 2013","May 01, 2016"
F10296    ,Issued,"Apr 02, 2001",10,"Apr 02, 2001", ,00/10-15-047-07W5,53.056048,-114.937357,0XZ4,Bonterra Energy Corp., ,453, , , , , , , , , , , ,ABGP0001159,Gas Plant Sweet,BONTERRA 10-15 SWEET GAS PLANT STN 2,PEMBINA,0XZ4,Bonterra Energy Corp.,"Jan 01, 1991","Dec 01, 2023"
F10296    ,Issued,"Apr 02, 2001",10,"Apr 02, 2001", ,00/10-15-047-07W5,53.056048,-114.937357,0XZ4,Bonterra Energy Corp., ,453, , , , , , , , , , , ,ABGS0002494,Gas Gathering Sys,AMOCO PEMB AREA 2,PEMBINA,0XZ4,Bonterra Energy Corp.,"Jan 01, 2000","Dec 01, 2023"
F10296    ,Issued,"Apr 02, 2001",10,"Apr 02, 2001", ,00/10-15-047-07W5,53.056048,-114.937357,0XZ4,Bonterra Energy Corp., ,453, , , , , , , , , , , ,ABGS0003278,Gas Gathering Sys,PENN WEST PEMBINA,PEMBINA,0XZ4,Bonterra Energy Corp.,"Jan 01, 2000","Dec 01, 2023"
F10296    ,Issued,"Apr 02, 2001",10,"Apr 02, 2001", ,00/10-15-047-07W5,53.056048,-114.937357,0XZ4,Bonterra Energy Corp., ,453, , , , , , , , , , , ,ABGS0155192,Gas Gathering Sys,WEST PEMBALTA GP#2 GGS,PEMBINA,0XZ4,Bonterra Energy Corp.,"Dec 01, 2019","Dec 01, 2023"
F10296    ,Issued,"Apr 02, 2001",10,"Apr 02, 2001", ,00/10-15-047-07W5,53.056048,-114.937357,0XZ4,Bonterra Energy Corp., ,453, , , , , , , , , , , ,ABGS0155193,Gas Gathering Sys,SOUTH PEMBALTA GP#2 GGS,PEMBINA,0XZ4,Bonterra Energy Corp.,"Dec 01, 2019","Dec 01, 2023"
F10296    ,Issued,"Apr 02, 2001",10,"Apr 02, 2001", ,00/10-15-047-07W5,53.056048,-114.937357,0XZ4,Bonterra Energy Corp., ,453, , , , , , , , , , , ,ABGS0155194,Gas Gathering Sys,EAST PEMBALTA GP#2 GGS,PEMBINA,0XZ4,Bonterra Energy Corp.,"Dec 01, 2019","Dec 01, 2023"
F10296    ,Issued,"Apr 02, 2001",10,"Apr 02, 2001", ,00/10-15-047-07W5,53.056048,-114.937357,0XZ4,Bonterra Energy Corp., ,453, , , , , , , , , , , ,ABGS0155195,Gas Gathering Sys,NORTH PEMBALTA GP#2 GGS,PEMBINA,0XZ4,Bonterra Energy Corp.,"Dec 01, 2019","Dec 01, 2023"
F10429    ,Issued,"Mar 06, 2001",10,"Mar 06, 2001", ,00/01-32-047-10W5,53.09162,-115.41952,0BP8,Obsidian Energy Ltd., ,8, , , , , , , , , , , ,ABGP0001603,Gas Plant Sweet,NCE PEMBINA,PEMBINA,0BP8,Obsidian Energy Ltd.,"Jan 01, 1991","Oct 01, 2006"
F10434    ,Issued,"Mar 01, 2001",10,"Mar 01, 2001","Aug 26, 2006",00/13-35-047-10W5,53.103191,-115.363667,A8HW,I3 Energy Canada Ltd., ,845,760.7, , , , ,148.9,175.1, , , , ,ABGP0001987,Gas Plant Sweet,PEMBINA 13-35-47-10W5,PEMBINA,A8HW,I3 Energy Canada Ltd.,"Jan 01, 1997","Dec 01, 2023"
F10434    ,Issued,"Mar 01, 2001",10,"Mar 01, 2001","Aug 26, 2006",00/13-35-047-10W5,53.103191,-115.363667,A8HW,I3 Energy Canada Ltd., ,845,760.7, , , , ,148.9,175.1, , , , ,ABGS0105413,Gas Gathering Sys,PEMBINA HP & LP,PEMBINA,A8HW,I3 Energy Canada Ltd.,"Dec 01, 2009","Dec 01, 2023"
F10465    ,Abandoned,"Mar 23, 2023",600,"Mar 06, 2001","Feb 03, 2014",00/10-10-047-14W5,53.043209,-115.958073,A0C0,Keyera Energy Ltd.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, CBA Process","4,131.00",3499,0,0,0,0,197,1058,50,47.95,2.05,95.9,ABGP0001458,Gp Sulphur Rcvry,KEYERA WEST PEMBINA 10-10-047-14W5,BRAZEAU RIVER,A0C0,Keyera Energy Ltd.,"Jan 01, 1991","Nov 01, 2022"
F10465    ,Abandoned,"Mar 23, 2023",600,"Mar 06, 2001","Feb 03, 2014",00/10-10-047-14W5,53.043209,-115.958073,A0C0,Keyera Energy Ltd.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, CBA Process","4,131.00",3499,0,0,0,0,197,1058,50,47.95,2.05,95.9,ABGS0136525,Gas Gathering Sys,BRAZ E/W PEMB ICONN OFFLD GS @ 03-12,BRAZEAU RIVER,A0C0,Keyera Energy Ltd.,"Feb 01, 2015","Feb 01, 2023"
F10465    ,Abandoned,"Mar 23, 2023",600,"Mar 06, 2001","Feb 03, 2014",00/10-10-047-14W5,53.043209,-115.958073,A0C0,Keyera Energy Ltd.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, CBA Process","4,131.00",3499,0,0,0,0,197,1058,50,47.95,2.05,95.9,ABGS0140394,Gas Gathering Sys,KEYERA WEST PEMBINA 10-10 FUEL GGS,BRAZEAU RIVER,A0C0,Keyera Energy Ltd.,"Feb 01, 2016","Oct 01, 2020"
F10465    ,Abandoned,"Mar 23, 2023",600,"Mar 06, 2001","Feb 03, 2014",00/10-10-047-14W5,53.043209,-115.958073,A0C0,Keyera Energy Ltd.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, CBA Process","4,131.00",3499,0,0,0,0,197,1058,50,47.95,2.05,95.9,ABIF0140656,Disposal,KEYERA WEST PEMBINA INJ FACILITY,BRAZEAU RIVER,A0C0,Keyera Energy Ltd.,"Mar 01, 2016","Oct 01, 2019"
F10592    ,Amended,"Oct 03, 2016",10,"May 01, 2001","Oct 03, 2016",00/11-16-048-13W4,53.14312,-111.851712,A73W,Enercapita Energy Ltd., ,113,112,0,0,0,0,0.3,0,0, , , ,ABCS0010592,Compressor Station,SIGNALTA RESOURCES LIMITED,VIKING-KINSELLA,A73W,Enercapita Energy Ltd., , 
F10592    ,Amended,"Oct 03, 2016",10,"May 01, 2001","Oct 03, 2016",00/11-16-048-13W4,53.14312,-111.851712,A73W,Enercapita Energy Ltd., ,113,112,0,0,0,0,0.3,0,0, , , ,ABGP0143117,Gas Plant Sweet,Viking 11-16-48-13W4,VIKING-KINSELLA,A73W,Enercapita Energy Ltd.,"Dec 01, 2016","Dec 01, 2023"
F10594    ,Abandoned,"Jan 27, 2006",10,"Apr 19, 2001","Aug 26, 2006",00/10-01-048-15W4,53.114439,-112.060269,0Z5F,Sequoia Resources Corp., ,206.72,225.9,0,0,0,0,0,0.6,0,0, , ,ABGP0001783,Gas Plant Sweet,DOMINION EAST BRUCE 10-01,BRUCE,0MK1,1333002 Alberta Ltd.,"Jan 01, 2001","Oct 01, 2002"
F10598    ,Issued,"Feb 28, 2001",10,"Feb 28, 2001", ,00/13-11-048-20W4,53.13429,-112.82424,A5RD,Enerplus Corporation, ,112, , , , , , , , , , , ,ABGP0001449,Gas Plant Sweet,APF ENERGY JOARCAM,JOARCAM,A5RD,Enerplus Corporation,"Jan 01, 1991","Oct 01, 2007"
F10619    ,Amended,"Oct 30, 2006",400,"Mar 01, 2001","Feb 23, 2008",00/08-18-048-26W4,53.140065,-113.785773,A7M1,Canlin Energy Corporation,"Regenerative, Acid Gas Injection",567,530,0,0,0,0,31,26,3.3, ,0,69.7,ABGP0001672,Gp Acid Gas Flaring%,CENTRAL WATELET GP 08-18,WIZARD LAKE,A68P,Canlin Resources Partnership,"Jan 01, 1993","Dec 01, 2023"
F10657    ,Issued,"Mar 01, 2001",10,"Mar 01, 2001", ,02/15-22-048-02W5,53.161409,-114.205169,A632,Petrus Resources Corp., ,147.3, , , , , , , , , , , ,ABGP0001214,Gas Plant Sweet,poco PEMBINA,PEMBINA,A632,Petrus Resources Corp.,"Jan 01, 1991","Dec 01, 2023"
F10658    ,Issued,"Mar 15, 2001",10,"Mar 15, 2001", ,00/15-22-048-02W5,53.161409,-114.204269,A632,Petrus Resources Corp., ,283, , , , , , , , , , , ,ABBT0098121,Gas Group,PEMBINA 15-22 GROUP GAS BTY,PEMBINA,A632,Petrus Resources Corp.,"May 01, 2008","Dec 01, 2023"
F10658    ,Issued,"Mar 15, 2001",10,"Mar 15, 2001", ,00/15-22-048-02W5,53.161409,-114.204269,A632,Petrus Resources Corp., ,283, , , , , , , , , , , ,ABBT0114330,Gas Group,CRYSTAL BONAVISTA GROUP,PEMBINA,A632,Petrus Resources Corp.,"Feb 01, 2011","Feb 01, 2023"
F10658    ,Issued,"Mar 15, 2001",10,"Mar 15, 2001", ,00/15-22-048-02W5,53.161409,-114.204269,A632,Petrus Resources Corp., ,283, , , , , , , , , , , ,ABBT6850209,Gas Proration Efflue,PEMBINA 15-22-48-2W5,PEMBINA,A632,Petrus Resources Corp.,"May 01, 1989","Jan 01, 2014"
F10658    ,Issued,"Mar 15, 2001",10,"Mar 15, 2001", ,00/15-22-048-02W5,53.161409,-114.204269,A632,Petrus Resources Corp., ,283, , , , , , , , , , , ,ABGP0001646,Gas Plant Sweet,PEMBINA-SUNNYBROOK 15-22-48-2W5,PEMBINA,A632,Petrus Resources Corp.,"Jan 01, 1991","Dec 01, 2023"
F10658    ,Issued,"Mar 15, 2001",10,"Mar 15, 2001", ,00/15-22-048-02W5,53.161409,-114.204269,A632,Petrus Resources Corp., ,283, , , , , , , , , , , ,ABGS0132067,Gas Gathering Sys,BT 16-36 FLOWING GAS GS,PEMBINA,A632,Petrus Resources Corp.,"Mar 01, 2014","Dec 01, 2023"
F10672    ,Amended,"Dec 18, 2007",300,"Mar 02, 2001","Dec 18, 2007",00/10-14-048-03W5,53.144454,-114.329414,A5RX,Bonavista Energy Corporation,"Regenerative, Acid Gas Flaring",84,77,0,0,0,0,0,10,0.77, ,0.77, ,ABGP0001787,Gas Plant Sweet,NCE PEMBINA 10-14,PEMBINA,A573,Tourmaline Oil Corp.,"Jan 01, 2001","Jun 01, 2008"
F10674    ,Amended,"Jun 07, 2007",10,"Feb 14, 2001","Jun 07, 2007",00/06-15-048-03W5,53.1405,-114.3562,A6GD,Sinopec Canada Energy Ltd., ,211,193,0.1,0,0,0,26.5,0,0, , , ,ABGP0001149,Gas Plant Sweet,00/06-15-048-03W5 Pembina GP,PEMBINA,A97N,Sinopec Canada Energy Ltd.,"Jan 01, 1991","Dec 01, 2023"
F10674    ,Amended,"Jun 07, 2007",10,"Feb 14, 2001","Jun 07, 2007",00/06-15-048-03W5,53.1405,-114.3562,A6GD,Sinopec Canada Energy Ltd., ,211,193,0.1,0,0,0,26.5,0,0, , , ,ABGS0125179,Gas Gathering Sys,10-14 Gas Plant Inlet Warburg GS,PEMBINA,A97N,Sinopec Canada Energy Ltd.,"Feb 01, 2013","Dec 01, 2023"
F10759    ,Issued,"Mar 06, 2001",10,"Mar 06, 2001", ,00/05-35-048-04W5,53.183351,-114.485224,0XZ4,Bonterra Energy Corp., ,580, , , , , , , , , , , ,ABGP0001088,Gas Plant Sweet,BONTERRA 05-35 SWEET GAS PLANT,PEMBINA,0XZ4,Bonterra Energy Corp.,"Jan 01, 1991","Dec 01, 2023"
F10759    ,Issued,"Mar 06, 2001",10,"Mar 06, 2001", ,00/05-35-048-04W5,53.183351,-114.485224,0XZ4,Bonterra Energy Corp., ,580, , , , , , , , , , , ,ABGS0132282,Gas Gathering Sys,BONTERRA 05-35 / 11-17 GGS,PEMBINA,0XZ4,Bonterra Energy Corp.,"Apr 01, 2014","Dec 01, 2023"
F1080     ,Amended,"Sep 02, 2022",600,"Feb 15, 2001","Sep 02, 2022",00/11-31-013-14W4,50.129521,-111.908571,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process",215,143,0.5,0,15.8,15.6,43.2,11.3,4.9,3.43,1.46,69.7,ABBT0141013,Gas Group,ENCHANT 03-30-014-16W4,HAYS,0HE9,Canadian Natural Resources Limited,"Apr 01, 2016","Mar 01, 2019"
F1080     ,Amended,"Sep 02, 2022",600,"Feb 15, 2001","Sep 02, 2022",00/11-31-013-14W4,50.129521,-111.908571,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process",215,143,0.5,0,15.8,15.6,43.2,11.3,4.9,3.43,1.46,69.7,ABBT0143224,Gas Group,ENCHANT 13-17-014-14W4,HAYS,0HE9,Canadian Natural Resources Limited,"Jan 01, 2017","Dec 01, 2023"
F1080     ,Amended,"Sep 02, 2022",600,"Feb 15, 2001","Sep 02, 2022",00/11-31-013-14W4,50.129521,-111.908571,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process",215,143,0.5,0,15.8,15.6,43.2,11.3,4.9,3.43,1.46,69.7,ABBT0147940,Gas Proration - S.e.,Enchant 10-01-013-16W4,HAYS,0HE9,Canadian Natural Resources Limited,"Mar 01, 2018","Dec 01, 2023"
F1080     ,Amended,"Sep 02, 2022",600,"Feb 15, 2001","Sep 02, 2022",00/11-31-013-14W4,50.129521,-111.908571,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process",215,143,0.5,0,15.8,15.6,43.2,11.3,4.9,3.43,1.46,69.7,ABGP0001585,Gp Sulphur Rcvry,HAYS 11-31-013-14W4,HAYS,0HE9,Canadian Natural Resources Limited,"Jan 01, 1991","Dec 01, 2023"
F1080     ,Amended,"Sep 02, 2022",600,"Feb 15, 2001","Sep 02, 2022",00/11-31-013-14W4,50.129521,-111.908571,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process",215,143,0.5,0,15.8,15.6,43.2,11.3,4.9,3.43,1.46,69.7,ABGS0093633,Gas Gathering Sys,HAYS 11-31-13-14W4 GGS,HAYS,0HE9,Canadian Natural Resources Limited,"Feb 01, 2007","Mar 01, 2007"
F1080     ,Amended,"Sep 02, 2022",600,"Feb 15, 2001","Sep 02, 2022",00/11-31-013-14W4,50.129521,-111.908571,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process",215,143,0.5,0,15.8,15.6,43.2,11.3,4.9,3.43,1.46,69.7,ABGS0152550,Gas Gathering Sys,TURIN 12-14-011-17W4 GGS TO HAYS GP,HAYS,0HE9,Canadian Natural Resources Limited,"Mar 01, 2019","Dec 01, 2023"
F1080     ,Amended,"Sep 02, 2022",600,"Feb 15, 2001","Sep 02, 2022",00/11-31-013-14W4,50.129521,-111.908571,0HE9,Canadian Natural Resources Limited,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process",215,143,0.5,0,15.8,15.6,43.2,11.3,4.9,3.43,1.46,69.7,ABGS0155560,Gas Gathering Sys,Hays 05-27-14-16W4,HAYS,0HE9,Canadian Natural Resources Limited,"Dec 01, 2019","Dec 01, 2023"
F10862    ,Amended,"May 14, 2015",11,"Feb 13, 2001","May 14, 2015",00/13-24-048-07W5,53.161418,-114.900476,A31G,Plains Midstream Canada ULC, ,0.1,0.1,0,0,2710,0,0,503,0, , , ,ABGP0001700,Gas Plant Frac,Buck Creek Frac Plant,PEMBINA,A31G,Plains Midstream Canada ULC,"Jan 01, 1991","Dec 01, 2023"
F10891    ,RecExempt,"Apr 22, 2020",10,"Apr 02, 2001", ,00/07-02-048-08W5,53.110615,-115.059028,0G30,ARC Resources Ltd., ,197, , , , , , , , , , , ,ABGP0001162,Gas Plant Sweet,* AMOCO PEMB (SUB #5),PEMBINA,A62D,BP Canada Energy Group ULC, , 
F11034    ,Amended,"Dec 08, 2023",600,"Mar 06, 2001","Dec 08, 2023",00/04-31-048-12W5,53.179522,-115.753482,A74Y,Tidewater Midstream and Infrastructure Ltd.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, MCRC Process","6,650.00",5400,600,0,1050,400,875,1956,500,492,8,98.4,ABGP0001372,Gas Plant Sweet,* PETRO-CAN BRAZEAU RIVER,BRAZEAU RIVER,A74Y,Tidewater Midstream and Infrastructure Ltd., , 
F11034    ,Amended,"Dec 08, 2023",600,"Mar 06, 2001","Dec 08, 2023",00/04-31-048-12W5,53.179522,-115.753482,A74Y,Tidewater Midstream and Infrastructure Ltd.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, MCRC Process","6,650.00",5400,600,0,1050,400,875,1956,500,492,8,98.4,ABGP0001482,Gp Sulphur Rcvry,BRC 04-31-048-12W5 GAS PLANT,BRAZEAU RIVER,A74Y,Tidewater Midstream and Infrastructure Ltd.,"Jan 01, 1991","Dec 01, 2023"
F11034    ,Amended,"Dec 08, 2023",600,"Mar 06, 2001","Dec 08, 2023",00/04-31-048-12W5,53.179522,-115.753482,A74Y,Tidewater Midstream and Infrastructure Ltd.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, MCRC Process","6,650.00",5400,600,0,1050,400,875,1956,500,492,8,98.4,ABGP0151188,Gas Plant Frac,BRC 04-31-048-12W5 FRAC PLANT,PEMBINA,A74Y,Tidewater Midstream and Infrastructure Ltd.,"Nov 01, 2018","Dec 01, 2023"
F11034    ,Amended,"Dec 08, 2023",600,"Mar 06, 2001","Dec 08, 2023",00/04-31-048-12W5,53.179522,-115.753482,A74Y,Tidewater Midstream and Infrastructure Ltd.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, MCRC Process","6,650.00",5400,600,0,1050,400,875,1956,500,492,8,98.4,ABGP0156929,Gas Plant Sweet,BRC 04-31-048-12W5 GAS PLANT #4,PEMBINA,A74Y,Tidewater Midstream and Infrastructure Ltd.,"Jun 01, 2020","Dec 01, 2023"
F11034    ,Amended,"Dec 08, 2023",600,"Mar 06, 2001","Dec 08, 2023",00/04-31-048-12W5,53.179522,-115.753482,A74Y,Tidewater Midstream and Infrastructure Ltd.,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, MCRC Process","6,650.00",5400,600,0,1050,400,875,1956,500,492,8,98.4,ABIF0145761,Enh Rvry Sch,F POOL 05-08-048-13W5 EOR INJ,PEMBINA,A74Y,Tidewater Midstream and Infrastructure Ltd.,"Sep 01, 2017","Sep 01, 2022"
F11105    ,Amended,"Aug 14, 2007",10,"Mar 12, 2001","Aug 14, 2007",00/05-23-049-21W4,53.2415,-112.9745,A5RD,Enerplus Corporation, ,280,278.2,0,0,0,0,8.3,0,0, , , ,ABGP0001637,Gas Plant Sweet,CABRE JOARCAM,JOARCAM,A5RD,Enerplus Corporation,"Jan 01, 1991","Jul 01, 2010"
F11108    ,Amended,"Jul 04, 2007",10,"Mar 12, 2001","Jul 04, 2007",00/06-29-049-21W4,53.25725,-113.04,A5RD,Enerplus Corporation, ,535,507,0,0,0,0,496,0,0, , , ,ABBT0103358,Crude Oil Proration,ENERMARK JOARCAM 06-29,JOARCAM,A5RD,Enerplus Corporation,"Aug 01, 2009","Dec 01, 2023"
F11108    ,Amended,"Jul 04, 2007",10,"Mar 12, 2001","Jul 04, 2007",00/06-29-049-21W4,53.25725,-113.04,A5RD,Enerplus Corporation, ,535,507,0,0,0,0,496,0,0, , , ,ABGP0001774,Gas Plant Sweet,CABRE JOARCAM 6-29,JOARCAM,A5RD,Enerplus Corporation,"Jan 01, 2000","Dec 01, 2023"
F11114    ,Abandoned,"Mar 10, 1998",300,"Apr 30, 2001", ,00/10-16-049-23W4,53.230683,-113.302966,A7H2,AlphaBow Energy Ltd., ,0, , , , , , , , , , , ,ABGP0001465,Gp Acid Gas Inj,BAYTEX KNELLER,KNELLER,0RL9,Baytex Energy Ltd., , 
F11117    ,RecCertified,"May 19, 2021",300,"Feb 28, 2001", ,00/14-22-049-23W4,53.25028,-113.28148,A0TK,AltaGas Ltd., ,43, , , , , , , ,0.06, , , ,ABGP0001502,Gas Plant Sweet,* TRITON KNELLER,KNELLER,382,World Wide Energy Co.ltd., , 
F11117    ,RecCertified,"May 19, 2021",300,"Feb 28, 2001", ,00/14-22-049-23W4,53.25028,-113.28148,A0TK,AltaGas Ltd., ,43, , , , , , , ,0.06, , , ,ABGP0001657,Gp Acid Gas Inj,ALTAGAS KNELLER,KNELLER,A0TK,AltaGas Ltd.,"Jan 01, 1991","May 01, 2000"
F11186    ,Abandoned,"Apr 25, 2007",300,"Mar 01, 2001", ,00/06-11-049-28W4,53.21059,-113.99247,A632,Petrus Resources Corp., ,281.7, , , , , , , ,0.9, , , ,ABGP0001653,Gp Acid Gas Flaring,CYPRESS THORSBY,THORSBY,A2TG,TAQA North Ltd.,"Jan 01, 1991","Sep 01, 2000"
F11191    ,Issued,"Mar 01, 2001",10,"Mar 01, 2001", ,02/05-04-049-01W5,53.19803,-114.095541,A632,Petrus Resources Corp., ,112, , , , , , , , , , , ,ABBT0130520,Gas Single,07-03-049-01W500 GAS WELL,THORSBY,A632,Petrus Resources Corp.,"Sep 01, 2013","Dec 01, 2023"
F11191    ,Issued,"Mar 01, 2001",10,"Mar 01, 2001", ,02/05-04-049-01W5,53.19803,-114.095541,A632,Petrus Resources Corp., ,112, , , , , , , , , , , ,ABGP0001368,Gas Plant Sweet,ARGONAUTS THORSBY,THORSBY,A632,Petrus Resources Corp.,"Jan 01, 1991","Jun 01, 2019"
F11191    ,Issued,"Mar 01, 2001",10,"Mar 01, 2001", ,02/05-04-049-01W5,53.19803,-114.095541,A632,Petrus Resources Corp., ,112, , , , , , , , , , , ,ABGS0130441,Gas Gathering Sys,03-06-49-01W5 GS (sat to) 05-04,THORSBY,A632,Petrus Resources Corp.,"Dec 01, 2013","Dec 01, 2023"
F11198    ,Issued,"Apr 16, 2001",10,"Apr 16, 2001", ,02/07-14-049-01W5,53.227013,-114.034689,A632,Petrus Resources Corp., ,570, , , , , , , , , , , ,ABGP0001642,Gas Plant Sweet,CYPRESS THORSBY,THORSBY,A632,Petrus Resources Corp.,"Jan 01, 1991","Dec 01, 2023"
