Month,Raw_Gas_Sum_E3m3/d
2007-12,"3,522.008001,042.002,550.0040246901191101702124001,400.001651,274.0052040040014,158.00"
2008-01,"2,811.004,875.002551,831.007,748.001,042.003402421351,300.00421136153964561691,250.002906234,875.004,875.00330283.22,233.002,233.001,416.00"
2008-02,"4,332.908,452.003,381.0018412,010.00169.916,311.006,230.00"
2008-03,"7,686.004,495.003,522.0064940210,550.002551,831.003,380.001644,332.907,748.0045319713542422251,040.006152,400.0021251246152803111413401003801,400.00500281.1396566650564423.6283.057004505079,617.5002,650.008502,233.002,233.001,416.00281.116,311.006,230.00400"
2008-04,"7047,686.002,811.003,522.00601,675.0010,550.002555501,831.003,380.003301643,610.0014010,249.00651602832831977393533106,229.008001,042.00340421,300.002,550.00421132831,040.00615562,400.00251,700.001,160.004,050.0046159151102804,046.501,700.00200396368.1766017045612016911437481,510.002401,200.00290501411,865.0062368010010,249.003807001,400.006522,310.004,250.0028236031073330424.98454251,603.204811,100.00422.6423.685707.90622.48857.6283.052501,700.00338.63565.21,700.009,617.5012,035.00113.33,397.004,265.491,841.0014,158.002,650.001,696.088503202,322.001,416.002853,794.503,794.5010,030.37"
2008-05,"7041,353.002,000.007,686.003,400.002244,495.002,811.003,522.00605,981.0074010,550.002559752601,060.0011,179.006,180.005501,831.0011,179.002,365.203,380.003301643,610.007,748.002,550.0014015,000.0010,249.00651604532832831977393533106,229.002,487.088001,042.001,050.00242135428872,673.701,300.002,550.00226.642162252463401132831192251,040.0003,381.00906152252,400.001701,400.006,650.00566350707.9251,160.004251,220.004508034744,050.00250701,352.0068043110954,131.00698.61,409.006,650.001701105702804,046.501,700.001742001,260.00368.1748.1566012011316941831111483741,250.004504748322002122113,534.001,510.002,200.002401,200.00290100112 502,350.0040014110,850.002961,164.001,352.00564340181283.28,384.6010030010,249.005643807001,400.0065268125337.81,359.0050028212,010.001,400.0042.5550943396509360135311404241717,326.002,000.001,553.873506502,395.00150424510424.9140.98451104811,100.00422.6423.670.8678565127.5707.97.181020,550.00650622.48201,700.00857.6283.052501,700.00510850185338.63679.6566.41702,200.001,812.402,000.001651,274.00283.17433.91,062.001,700.0066.55071053.51551,415.843,823.005207,787.261,415.841,359.00400400113.33,397.004,265.491,841.004,672.004,672.0014,158.003,115.006,218.001,696.081,415.848503207,297.252,322.00671.941,540.006,540.002,233.002,233.004,531.008,043.0011,163.001,696.001,416.008,384.601,700.0010,142.6416,311.005106,650.008,467.003,794.503,794.504,814.006,650.004,814.004001,982.2010,030.37566"
2008-06,"7041,353.002242,811.003,522.006074040210,550.002559752606,700.0011,179.006421,831.0099011,179.003,380.003301646007,748.0015,000.002781,700.00283283197353310442.31706001,042.005634218056226.651.5426238,452.001134452251,040.0003503,381.002,400.0021566707.92,500.00251,700.005653414504744,050.0025030680439515698.61,409.00432804,046.501,700.0020039648.1545618012031181,183.004741302122113,534.001,510.002,200.002401,200.00290 504001,132.0014110,850.004,562.00400250339.86236805641005647001,400.0068125800337.82801,359.0050045328212,010.00281.14,648.704005502,407.009431406232,500.001,553.87732,395.00150330424.9283.2584710127.52,832.00707.981020,550.00622.4820339.81702,200.007002,800.00165450433.91,700.005073.51551,415.845201,699.001,359.004004004501,136.703,397.001,132.0012,400.004,270.001,841.004,672.004,672.002,650.0085012,400.002,322.002,840.002,233.002,233.004,531.001,416.00281.11,342.008505103,794.503,794.505651,982.2028,037.00"
2008-07,"7041,353.002,000.003,400.002,811.003,522.007406492551,578.006,700.0011,179.006,180.0055012,678.001,831.0011,179.002,365.203,380.003301,200.004,332.907,748.0010,249.00901,700.00160353442.32,487.081,090.001706008001,042.003,110.00563887562,550.00226.651.5426238,452.001,560.0025605113550445203035020,537.003,381.00562,400.00211,400.006,650.00707.92,500.009255651,160.004251,220.00168.9474382250307012431,237.0090015698.61,409.006,650.00431105704,046.501,700.001741,260.0048.1566545618083924021,183.001324748100321302122113,534.001,510.002,200.001,200.001004001414,562.002,826.401,865.00793250296623680330564713.85553,115.001811,272.008,384.6057010,249.005643807001,400.003,681.00652681258002,310.001,359.008501,000.0015542428212,010.007,748.001,400.002,407.003965095661351406231,755.002,000.002,500.001,553.87732,395.00510330424.9845425110283.21,134.001,130.00710423.670.856585566.4127.52,832.007.18100622.481,700.00857.62,550.00250283.2185338.63566.4339.82,200.007002,800.001,812.402,000.008,500.005701651,274.001,999.00283.1766.510528312,035.003.5169.91,415.842003,823.005201,699.007,787.261,415.841,359.004004001,136.70012,400.004,270.002,718.001,841.0014,158.001,274.003,115.001,272.006,218.002,650.0012,400.001,540.006,540.002,233.002,233.004,531.003,398.00566.342,548.5011,163.001,696.003,256.401,416.008,384.601,700.0010,142.641,342.002,836.7016,311.008508,495.006,230.006,650.005,947.008,467.009683,794.503,794.506,650.005651,982.2010,030.37566"
2008-08,"1,355.001,353.001,606.002,000.007,686.003,400.002,811.003,522.008,050.002552606,180.0055012,678.001,831.002,365.201,200.004,332.902,550.0010,249.00907396,762.001,090.0060097.51,042.001,050.0056408,452.002463401139055011935020,537.003,381.0061522512,008.501701,400.006,650.005663501,160.004253411,220.00450168.938270626801104,131.0046698.61,409.006,650.001705702804,046.501,700.001741806651201133111,183.001005101302113,534.001,510.001,200.00283566.3 502,350.0010,850.007361,865.004002961,164.0068056410,249.005643807001,400.003,681.00566.36526880028042412,010.007,748.008,050.001,400.004,648.704003965094251454242,832.1012470,450.002,000.001,553.87736502,395.00986424510283.2227.1584710020,550.001,700.00857.6283.21,700.00382.3679.63,398.00339.82,800.002,000.008,500.005701651,999.00433.91,700.0066.55079,617.5012,035.003,823.001,700.00113.34503,397.004,265.494,270.002,718.001,841.001,274.002,650.007,297.25671.941,540.006,540.004,531.003,398.00566.342,548.501,342.002,836.7016,311.008508,495.006,230.006,650.009683,446.004,814.006,650.004,814.0056540028,037.0010,030.37"
2008-09,"7042,811.003,522.0025511,179.006,180.005501,831.0011,179.003,380.003301647,748.002,550.0015,000.0019,003.0010,249.001,042.00135421,300.00226.6404224690119061512,008.501,160.00431104,131.0017028017448.151131694503923214117568018110056615810,249.001,400.0028219,003.00281.12,407.00509510110283.2678127.501,700.002501,700.00510338.631651,274.0050710512,035.00169.95203,115.002,650.002,233.002,233.001,696.001,416.0010,142.64281.18,467.0010,030.37"
2008-10,"7041,353.003,400.002246040210,550.006421,831.003,380.003304,332.9027810,249.001,700.001602254532832831977393533101,090.006008001,042.0034042887561,300.002,550.001,040.00350225211,400.003501,700.001,160.004251,220.0038246151102804,046.50396368.173966604561691143741,250.0039282122,200.002401,200.00290508464001,865.006230.155534018115830010,249.006521258501,000.002821,400.00901,047.005093601,648.301,553.876505108451104811,100.00710707.90622.481,700.00857.6283.052501,700.00338.63679.6566.42,200.007001651,274.005071059,617.5012,035.001,415.842005201,699.004004001,136.701,648.304,265.491,841.0014,158.002,650.001,696.088502,322.001,540.0011,163.0016,311.008,495.006,230.0056540010,030.37"
2008-11,"3,522.001,700.008501,415.84"
2008-12,"140658001,042.002,550.002831,160.00396290311,274.0052014,158.00"
2009-01,"1,400.006,650.001,220.006,650.005705102,200.004241,400.001242,200.001,540.006,650.006,650.00"
2009-02,"3,522.00550162340906156,650.00124,131.006,650.001501,400.006524001,648.30731,648.306,650.006,650.00"
2009-03,"402180.3421623401131,040.0090564159155702801203111,000.0051068042412420,550.007004505071,700.00850"
2009-04,"704224608,050.0040210,550.002555501,831.003,380.003307,748.00180.319,003.002832833533106,229.008001,042.00340135421,300.002,550.00428,452.001134452832251,040.001,972.003,381.006151,400.006,650.00707.91,220.00159156,650.0028039621245616981,250.0082122,200.00240290400141339.862318165250012,010.008,050.0019,003.001,400.0050931330424.9845110678707.97.1810622.48857.62505101702,200.007001651,274.005071052005204004004251,841.004,672.004,672.0014,158.008503202,322.001,540.002,233.002,233.001,416.002856,230.006,650.005,947.003,794.503,794.506,650.00"
2009-05,"7041,353.002,000.007,686.004,495.002,811.003,522.00607404,875.0040210,550.002552601,578.006,700.0011,179.006,180.00550606421,831.0011,179.002,365.203,380.003301644,332.903,610.007,748.002,550.0025014015,000.00180.3651602254531977393533106,229.008001,042.00428872,673.701,300.002,550.00226.6428,452.001,560.002461135502831191,040.0003,381.006152112,008.501,400.006,650.00566350707.99251,700.001,160.004251,220.00168.94,050.00382250307012680431104,131.0090046159151,409.006,650.001701105702804,046.501,700.001743961,260.00368.1748.1539666566045618012011316931183743921,000.0015081005102122113,534.001,510.002,200.001,200.00290440100 508462,350.0040014110,850.001,865.00175339.82961846236800.1330564181566.2283.28,384.601002835705665647001,400.003,681.00652679.6125337.885042428212,010.004,875.001,400.00281.1509566360135145311242,000.004,875.001,553.876502,395.00510229.4330424.98454251104811,100.00423.670.8678565566.4127.5707.97.181020,550.00622.481,700.00857.6283.052501,700.00510850185338.63566.43,398.00339.81702,200.007001651,274.001,999.00450283.171,700.0066.55071059,617.503.51551,415.842003,823.005201,699.007,787.261,415.84400400113.31,136.703,397.004,265.494,270.002,718.001,841.0014,158.003,115.006,218.002,650.001,696.088503207,297.252,322.00671.941,540.002,840.002,233.002,233.004,531.008,043.002,548.501,416.008,384.601,700.0010,142.64281.11,342.0016,311.008,495.006,230.006,650.005,947.008,467.003,446.003,794.503,794.504,814.006,650.004,814.005654001,982.2028,037.00566"
2009-06,"7042,000.002244,495.003,522.00607404,875.0040210,550.002552601,578.0011,179.006,180.005506012,678.001,831.0099011,179.002,365.203,380.003301,200.004,332.907,748.002,550.0025014015,000.0019,003.0027865901,700.00283283197739353310442.36,229.006008001,042.003403,110.00242135563421802,673.7099561,300.002,550.00226.640421622531340605113905504452831192251,040.003509061512,008.501,400.00566350707.9251,700.005651,160.00341168.94,050.003241,352.00680110954,131.001,237.009004615698.65702801,700.0020039618066566045618012011316931183741,250.0045083921,000.001,183.0013281005101302122113,534.001,510.00240290283 502,350.0014110,850.007364,562.00175339.82966233301,352.00564340181566.22835705661585643807001,400.003,681.00566.365268125800337.82,310.001,359.0050056.34242824,875.0019,003.001,400.0070690281.1396.44,648.705502,407.002,803.00396509311401711241,755.008972,000.004,875.003806502,395.005641,048.00510229.4330424.9845250425110283.2227.15847,080.00423.670.867856585566.42,832.00707.97.1020,550.00650622.48201,700.00857.61,200.004251,982.00283.21,700.0051085042.5566.4339.8170700565.22,800.001,812.402,000.008,500.005701651,274.001,999.004501,062.001,700.005071052839,617.503.5155169.93,823.001,700.005201,699.001,359.003,397.004,265.4912,400.00181314,270.002,718.001,841.004,672.004,672.0014,158.001,274.002,650.001,415.848503207,297.2512,400.00671.946,540.002,840.002,233.002,233.004,531.003,398.008,043.002,548.501,696.003,256.401,416.0010,142.64285281.11,342.002,836.7016,311.008508,467.009683,446.003,794.503,794.504,814.004,814.001,982.20"
2009-07,"7041,606.002,811.00604,875.0064910,550.002556,180.005506421,831.002,365.203,380.003307,748.002,550.0019,003.001973538001,042.003403,110.00428872,550.00424452836152112,008.50350707.91,160.004,050.0038270434,131.00151,409.005702801,700.0020039648.1517045618012011384503925102113,534.001,510.00290283100141736175184623680564713.8283566158564380700337.856.34242824,875.0019,003.003965095663601,648.301244,875.006502,395.00510330424.9845425283.24811,134.001,130.00198.2423.6127.5707.97.1857.6283.0542.51402,000.001651,274.001,062.001,700.0066.5507853.51553,823.001,700.005201,699.007,787.261,648.303,397.0004,270.001,841.0014,158.001,696.081,415.843202,322.006,540.002,840.002,233.002,233.004,531.001,696.003,256.401,416.002855108,495.006,230.003,794.503,794.50400"
2009-08,"7041,355.001,606.002,811.00607404,875.0010,550.002,440.00606421,831.002,365.203301644,332.903,610.007,748.002,550.0025015,000.0019,003.0019773935317097.5340242563422,673.701,133.0051.562325312831,040.003823070121,352.004346698.61,409.00432802001,260.00368.1748.153966604561203113744501,183.00212211290283112 50260.64007364001751846231,352.00713.8283.28,384.6010056638065268337.828056.34,875.0019,003.0090281.19433965666561406238974,875.006502,395.00330424.9140.98454251,603.201,134.00198.270.8127.5707.97.1020,550.00857.6283.0525042.5338.633,398.00339.8165450283.1766.5507852839,617.501552001,700.007,787.261,415.844004003,397.004,265.49314,270.006,218.002,650.001,415.848508,043.0011,163.008,384.601,700.00281.11,342.0016,311.008,495.006,230.003,794.503,794.504,814.004,814.00565"
2009-09,"7042,000.003,400.002242,811.003,522.00605,981.0040210,550.0025511,179.0055012,678.001,831.0011,179.003,380.003301,200.001643,610.007,748.002,550.0015,000.00180.3902832831973533106,229.002,487.081,090.001701,042.00135422,673.70562,550.00226.6428,452.001132252031,040.001,972.003503,381.00615561701,400.00350707.99251,700.004503823043159151,409.002802121,260.0048.151203114028322123,534.001,510.002,200.002402,350.004001413901751,164.003408,384.601005667006522,310.0085050056.328212,010.001,400.001,047.0014501,755.002,000.006502,395.0098670510424.9845425283.271070.8678127.5707.97.181020,550.001,700.00857.6283.05250283.21,700.0051042.5338.63339.82,200.00700565.22,000.001651,274.00450433.950712,035.001555207,787.261,415.844004003,397.004,270.001,841.001,274.006,218.002,650.008503207,297.252,322.00671.946,540.002,840.002,233.002,233.004,531.002,548.5011,163.001,416.008,384.601,700.0010,142.642851,342.005105,947.008,467.009683,794.503,794.50"
2009-10,"7,686.002243,522.001,675.001,831.001,200.00652832833102,400.00350253822402961815701,400.0056670,450.002,395.00424.911065020857.6250338.631051,136.701,274.002,548.5096856528,037.00"
2009-11,"2246492556,180.005506423,380.003533108872,673.704211320,537.00615216,650.001,352.004,131.00156,650.001,260.0011339283,534.002,200.00 1411,352.008,384.603807,748.00396566845423.6707.9020857.6566.42,200.001,812.407,787.261,415.8406,218.002,650.00566.341,416.008,384.601,700.006,650.006,650.001,982.20"
2009-12,"5062464254,050.001705701,700.001201825102121,510.00400564564700337.8650201,700.001554004003,397.00"
2010-01,"7402,440.003,610.001,042.003402422,550.00280200680100907.10250338.63566.4339.81651,274.005075201,699.00"
2010-02,"550425168.93825706651005645643803,681.00424282396423.601,999.00283.171,136.702,718.00320565"
2010-03,"7,686.002243,522.00604,875.0064910,550.001,578.0011,179.006064211,179.0019,003.001977393533101708001,042.00242135421,300.002,550.00226.6251134452832251,040.0003,381.002,400.003501,160.00450303249002801743966604561801693744503922,200.002904,562.002,826.401,865.002966233405701,400.00652125337.850012,010.004,875.0019,003.00904,648.702,407.009434251711,648.3070,450.004,875.006502,395.00330845584422.6565566.42,832.00707.9622.48857.6283.05250338.63566.41402,200.002,800.00165450433.9507155113.31,648.3004,265.4912,400.004,672.004,672.0014,158.003,115.002,650.0085012,400.00671.9410,142.648506,230.008,467.00400"
2010-04,"7041,606.007,686.002244,495.002,811.003,522.00607404,875.0040210,550.0011,179.006064212,678.001,831.0011,179.003,380.0033016425010,249.00904532832831973533106,229.002,487.081708001,042.003403,110.00242135428872,673.701,300.002,550.00226.64025113905504452831192251,040.001,972.0020,537.00561,400.00707.91,700.001,160.001,220.00168.94,050.003823068015698.65702804,046.501,700.0020039621266545618012016931181,250.0010051032212892111,510.002,200.002401,200.002902834007362,826.401,865.001846236800.156418110010,249.005647001,400.003,681.0065268337.85004247,748.004,875.001,400.001551101,648.3002,718.4012470,450.004,875.00330424.9110710707.97.1020,550.00622.48857.6283.05283.2566.4339.82,200.00700565.21651,274.001,999.004501,700.0050710512,035.003.51551,415.845201,699.004004001,136.701,648.303,397.002,718.001,841.004,672.004,672.0014,158.002,650.008503202,322.001,540.003,398.00566.343,256.402853,794.503,794.5056540010,030.37"
2010-05,"7042,000.007,686.002,811.003,522.00605,981.007404,875.0064910,550.0025511,179.0064212,678.001,831.0011,179.003,380.003301,200.001647,748.002,550.0015,000.0010,249.00901606,229.002,487.088001,042.0034013542887180561,300.002,550.00226.6428,452.003401134452832031,040.0003503,381.006151701,400.006,650.00707.91,160.001,220.00450168.94744,050.0038230121,352.0043698.61,409.006,650.001105702801,700.0017439648.15277.518045618012016911481,250.008392150474510322122112,200.00290 260.64001414,562.00175250339.82961846236801,352.00340181566.210028356615810,249.001,400.00566.3652681251,359.0015542412,010.004,875.001,400.00909432,803.005661351711,648.301248972,000.004,875.00510229.4330424.94251,603.20110283.24817,080.00710678565127.52,832.007.18100622.481,700.001,200.00283.21,700.005108501851702,200.001651,274.001,999.00433.910512,035.003.51,415.842005201,699.001,359.004004001,648.303,397.00012,400.004,270.001,841.0014,158.001,274.003,115.002,650.0085012,400.00671.941,540.002,233.002,233.003,398.002,548.501,696.001,416.0010,142.641,342.006,650.005,947.008,467.009683,794.503,794.506,650.005651,982.2010,030.37"
2010-06,"7041,606.002,000.003,400.002243,522.00601,675.005,981.007404,875.0010,550.001,578.006,700.0011,179.001,831.0011,179.002,365.203301,200.001644,332.903,610.0014010,249.00652832833106,229.002,487.081708001,042.003403,110.0013542887562,550.00226.63401131,040.0003502,400.002112,008.501701,400.006,650.00251,220.0045047438230701,237.00900698.61,409.006,650.002801,700.0017439618081,250.0045081,183.00150474321302122113,534.001,510.002,200.00240283112260.64007364,562.004002501,164.006803303,115.00283.21,272.0010057010,249.003807001,400.001,133.00566.368125337.82801,359.0056.34,250.002824,875.001,400.00281.14,648.702,803.00396566425770311401711,755.002,000.004,875.00986424.9140.92501,603.20283.2227.15847,080.00198.2710423.6565566.42,832.007.11,200.002,550.004251,982.00283.242.53,398.00339.82,200.002,800.002,000.001651,274.00450433.91,062.0050712,035.00155169.92003,823.001,700.005207,787.261,359.0040040012,400.001,841.0014,158.001,274.003,115.001,272.002,650.0085012,400.001,540.006,540.002,840.004,531.008,043.002,548.5011,163.001,696.003,256.4010,142.64281.116,311.008506,650.008,467.009683,446.004,814.006,650.004,814.0010,030.37"
2010-07,"1,353.001,606.002,000.002,811.005,981.0074064940210,550.002551,578.0011,179.0055012,678.001,831.0011,179.003,380.001,200.00164180.3278901,700.00160442.36,229.001706008001,042.003403,110.00135563422,673.70561,300.002,550.00226.651.5426231,560.003405504452832252031,040.00035061556170707.92,500.009255651,160.00425341168.94744,050.0025030123241,352.009004615698.69151,409.00431105702804,046.501,700.001743961,260.0066517018012016931111481,250.008392402474100322002122113,534.001,200.00290283100112 50260.64001,132.001417362,826.40390793400250339.82961,164.006803301,352.00564713.85553403,115.00283.28,384.601005705643801,133.003,681.0068125800337.82,310.002801,359.001405001,000.0015556.345390281.14,648.704009433965663601351554256561401716231,648.307,326.002,718.401,755.008972,000.002,500.001,553.8735073564150986140.94251,603.204811,100.005841,134.00422.61,130.00198.2710423.670.8565566.47.181020,550.00622.482,550.00250283.242.5185338.63566.43,398.00339.8700565.22,800.001,812.408,500.005701651,274.001,999.001,062.001,700.005079,617.5012,035.003.5155169.91,415.842001,700.005207,787.261,415.841,359.004004004501,136.701,648.303,397.001,132.0004,265.492,718.004,672.004,672.0014,158.001,274.006,218.002,650.001,696.088503202,233.002,233.003,398.002,548.503,256.401,416.008,384.601,700.0010,142.64285281.12,836.708,467.009683,794.503,794.50565566"
2010-08,"604,875.0064910,550.002555506012,678.003,380.001,200.00140180.3901606,229.001,090.0080034024213542255502831,040.0056425450168.94744,050.009515698.691511057028039618066545612016931181,250.003921,183.00150474100321,200.002901412,826.402506235641585643803,681.00566.3682808501554244534,875.007063961353104,875.0073330424.9481423.620,550.00622.48283.2185338.633,398.007001651,999.00450433.91,700.0050712,035.003.53,397.0002,718.001,841.001,274.008502,322.002,548.50968"
2010-09,"2,811.0015,000.001,042.002,550.00280396456339.8623330422.6250338.631651,274.00507520"
2010-10,"1,353.001,606.007,686.003,522.006,700.0012,678.001,831.004,332.90906001351134,046.501,250.001322122111,200.002834404001,132.00736181566.22831581,400.006521252,310.001,359.0014056.3901,648.301,553.87330424.9110240.27.165020250283.242.5338.63566.41057,787.261,359.004004001,648.301,132.001811,274.008,043.0016,311.004,814.004,814.00"
2010-11,"7043307,748.001708001,042.00283615720707.9301211028039648.154562907206236805551251,000.0015590330127.58100250338.63566.416550714,158.002,233.002,233.001,982.20"
2010-12,0
2011-01,"6494023,380.003401,300.005502831,700.001,160.00168.9151,409.006654561693921006233,681.00330424.91,200.003,398.007001,999.001,062.0002,718.001,982.20"
2011-02,"6,762.008001,042.002,550.0051.5113283168.938243570396456510290566.3400623283.2652424124330140.94251,999.0014,158.00565"
2011-03,"2244,332.9010,249.002832833106,762.00113240566.318410,249.00652845707.92,650.006,230.0010,030.37"
2011-04,"7402555501,831.001647,748.006,762.00423,381.00615707.9150211566.3260.6141339.818110012,010.001554251,603.20110810622.481052,233.002,233.001,416.005,947.00"
2011-05,"7042,000.007,686.002244,495.003,522.00605,981.007404,875.0064940210,550.002552601,060.006,700.0011,179.006,180.005506064212,678.001,831.0011,179.003,380.003301,200.001643,610.0025014019,003.0027865902254532832831977393533101,090.001708001,042.001,050.0024213542887561,300.002,550.00226.642162253406054452832251,040.00035020,537.003,381.00906152,400.002112,008.501701,400.006,650.00566350707.9251,700.001,160.001,220.00450168.94,050.00382301,352.004,131.004615698.61,409.006,650.005702804,046.501,700.001743961,260.00368.1739666045618012011316983741,250.004503921,183.0015013285102122113,534.001,510.002,200.002401,200.00290 502,350.004001,132.0014110,850.002,826.402961841,164.006236800.11,352.005643401818,384.601005701585647001,400.003,681.0065268125337.885050056.342428212,010.007,748.004,875.0019,003.001,400.0070690281.1509314241,648.301241,755.0089770,450.002,000.004,875.006502,395.00564986424510330424.9845110710678565707.97.1810020,550.00650622.48202831,700.00857.61,982.00283.05283.21,700.0051042.5566.42,200.007001651,274.001,999.00450283.17433.91,700.005071059,617.503.51552003,823.005201,699.007,787.261,415.844004001,648.303,397.001,132.0004,265.491812,718.001,841.004,672.004,672.0014,158.001,274.003,115.002,650.008503207,297.252,322.001,540.00566.348,043.002,548.501,696.001,416.008,384.601,700.0010,142.64281.15106,650.008,467.009683,794.503,794.506,650.00565400"
2011-06,"2242,811.004,875.006492552605506012,678.003,380.001,200.007,748.003106,229.008001,042.003,110.002428871,300.002,550.004225283615211,400.00566707.91,160.00951,237.001801701143921,183.0081302122,200.00290100 40014110,850.003,115.00566.2283570380566.36522,310.001,359.004,875.001,400.003963601554257708974,875.00150845250283.2481227.1422.6423.68100622.48202,550.00283.22,200.00565.21,274.0085169.91285201,359.00400400014,158.001,274.001,696.082,233.002,233.002,548.501,696.003,256.401,416.00285510968"
2011-07,"2,536.002,811.003,522.008,050.004022552606,180.006421,831.003,380.003,610.007,748.002,550.002781,090.008001,042.002,673.702,550.00426156,650.00566707.9168.91,352.00434,131.0015698.66,650.0057048.151138510 1,132.0014110,850.001,865.001751,352.005661,400.0068125337.81,359.004248,050.00124897424.9127.58100622.48566.47001651,274.001,999.001555201,359.001,132.0014,158.002,233.002,233.001,416.006,650.003,794.503,794.506,650.001,982.20"
2011-08,"7,686.002,811.003,522.006010,550.002552606,180.005501,831.003,380.003,610.007,748.002,550.001701,042.00563422,550.0051.5421131,040.0061556566707.93015432802122111,200.00 40014110,850.002,826.403,115.005661,400.00337.8140396.40240.27.1810622.482,550.007001651,274.005071555204004001811,841.008502,322.002,233.002,233.001,416.003,794.503,794.501,982.20"
